137,/m/04rlf,Music
138,/m/04szw,Musical instrument
139,/m/0fx80y,Plucked string instrument
140,/m/0342h,Guitar
141,/m/02sgy,Electric guitar
142,/m/018vs,Bass guitar
143,/m/042v_gx,Acoustic guitar
144,/m/06w87,"Steel guitar, slide guitar"
145,/m/01glhc,Tapping (guitar technique)
146,/m/07s0s5r,Strum
147,/m/018j2,Banjo
148,/m/0jtg0,Sitar
149,/m/04rzd,Mandolin
150,/m/01bns_,Zither
151,/m/07xzm,Ukulele
152,/m/05148p4,Keyboard (musical)
153,/m/05r5c,Piano
154,/m/01s0ps,Electric piano
155,/m/013y1f,Organ
156,/m/03xq_f,Electronic organ
157,/m/03gvt,Hammond organ
158,/m/0l14qv,Synthesizer
159,/m/01v1d8,Sampler
160,/m/03q5t,Harpsichord
161,/m/0l14md,Percussion
162,/m/02hnl,Drum kit
163,/m/0cfdd,Drum machine
164,/m/026t6,Drum
165,/m/06rvn,Snare drum
166,/m/03t3fj,Rimshot
167,/m/02k_mr,Drum roll
168,/m/0bm02,Bass drum
169,/m/011k_j,Timpani
170,/m/01p970,Tabla
171,/m/01qbl,Cymbal
172,/m/03qtq,Hi-hat
173,/m/01sm1g,Wood block
174,/m/07brj,Tambourine
175,/m/05r5wn,Rattle (instrument)
176,/m/0xzly,Maraca
177,/m/0mbct,Gong
178,/m/016622,Tubular bells
179,/m/0j45pbj,Mallet percussion
180,/m/0dwsp,"Marimba, xylophone"
181,/m/0dwtp,Glockenspiel
182,/m/0dwt5,Vibraphone
183,/m/0l156b,Steelpan
184,/m/05pd6,Orchestra
185,/m/01kcd,Brass instrument
186,/m/0319l,French horn
187,/m/07gql,Trumpet
188,/m/07c6l,Trombone
189,/m/0l14_3,Bowed string instrument
190,/m/02qmj0d,String section
191,/m/07y_7,"Violin, fiddle"
192,/m/0d8_n,Pizzicato
193,/m/01xqw,Cello
194,/m/02fsn,Double bass
195,/m/085jw,"Wind instrument, woodwind instrument"
196,/m/0l14j_,Flute
197,/m/06ncr,Saxophone
198,/m/01wy6,Clarinet
199,/m/03m5k,Harp
200,/m/0395lw,Bell
201,/m/03w41f,Church bell
202,/m/027m70_,Jingle bell
203,/m/0gy1t2s,Bicycle bell
204,/m/07n_g,Tuning fork
205,/m/0f8s22,Chime
206,/m/026fgl,Wind chime
207,/m/0150b9,Change ringing (campanology)
208,/m/03qjg,Harmonica
209,/m/0mkg,Accordion
210,/m/0192l,Bagpipes
211,/m/02bxd,Didgeridoo
212,/m/0l14l2,Shofar
213,/m/07kc_,Theremin
214,/m/0l14t7,Singing bowl
215,/m/01hgjl,Scratching (performance technique)
216,/m/064t9,Pop music
217,/m/0glt670,Hip hop music
218,/m/02cz_7,Beatboxing
219,/m/06by7,Rock music
220,/m/03lty,Heavy metal
221,/m/05r6t,Punk rock
222,/m/0dls3,Grunge
223,/m/0dl5d,Progressive rock
224,/m/07sbbz2,Rock and roll
225,/m/05w3f,Psychedelic rock
226,/m/06j6l,Rhythm and blues
227,/m/0gywn,Soul music
228,/m/06cqb,Reggae
229,/m/01lyv,Country
230,/m/015y_n,Swing music
231,/m/0gg8l,Bluegrass
232,/m/02x8m,Funk
233,/m/02w4v,Folk music
234,/m/06j64v,Middle Eastern music
235,/m/03_d0,Jazz
236,/m/026z9,Disco
237,/m/0ggq0m,Classical music
238,/m/05lls,Opera
239,/m/02lkt,Electronic music
240,/m/03mb9,House music
241,/m/07gxw,Techno
242,/m/07s72n,Dubstep
243,/m/0283d,Drum and bass
244,/m/0m0jc,Electronica
245,/m/08cyft,Electronic dance music
246,/m/0fd3y,Ambient music
247,/m/07lnk,Trance music
248,/m/0g293,Music of Latin America
249,/m/0ln16,Salsa music
250,/m/0326g,Flamenco
251,/m/0155w,Blues
252,/m/05fw6t,Music for children
253,/m/02v2lh,New-age music
254,/m/0y4f8,Vocal music
255,/m/0z9c,A capella
256,/m/0164x2,Music of Africa
257,/m/0145m,Afrobeat
258,/m/02mscn,Christian music
259,/m/016cjb,Gospel music
260,/m/028sqc,Music of Asia
261,/m/015vgc,Carnatic music
262,/m/0dq0md,Music of Bollywood
263,/m/06rqw,Ska
264,/m/02p0sh1,Traditional music
265,/m/05rwpb,Independent music
266,/m/074ft,Song
267,/m/025td0t,Background music
268,/m/02cjck,Theme music
269,/m/03r5q_,Jingle (music)
270,/m/0l14gg,Soundtrack music
271,/m/07pkxdp,Lullaby
272,/m/01z7dr,Video game music
273,/m/0140xf,Christmas music
274,/m/0ggx5q,Dance music
275,/m/04wptg,Wedding music
276,/t/dd00031,Happy music
277,/t/dd00032,Funny music
278,/t/dd00033,Sad music
279,/t/dd00034,Tender music
280,/t/dd00035,Exciting music
281,/t/dd00036,Angry music
282,/t/dd00037,Scary music
